season,team,age
2006-01-01,Orlando Magic,25.5
2006-01-01,Philadelphia 76ers,26.5
2006-01-01,Phoenix Suns,27.5
2006-01-01,Portland Trail Blazers,24.6
2006-01-01,Sacramento Kings,27.2
2006-01-01,San Antonio Spurs,29.8
2006-01-01,Seattle SuperSonics,25.6
2006-01-01,Toronto Raptors,25.9
2006-01-01,Utah Jazz,25.6
2006-01-01,Washington Wizards,26.5
2006-01-01,League Average,26.6
2005-01-01,Atlanta Hawks,26.0
2005-01-01,Boston Celtics,27.1
2005-01-01,Charlotte Bobcats,24.9
2005-01-01,Chicago Bulls,25.0
2005-01-01,Cleveland Cavaliers,26.5
2005-01-01,Dallas Mavericks,27.7
2005-01-01,Denver Nuggets,26.7
2005-01-01,Detroit Pistons,27.9
2005-01-01,Golden State Warriors,26.7
2005-01-01,Houston Rockets,29.7
2005-01-01,Indiana Pacers,28.3
2005-01-01,Los Angeles Clippers,25.5
2005-01-01,Los Angeles Lakers,26.0
2005-01-01,Memphis Grizzlies,26.3
2005-01-01,Miami Heat,28.0
2005-01-01,Milwaukee Bucks,26.9
2005-01-01,Minnesota Timberwolves,29.0
2005-01-01,New Jersey Nets,27.8
2005-01-01,New Orleans Hornets,27.5
2005-01-01,New York Knicks,27.3
2005-01-01,Orlando Magic,26.5
2005-01-01,Philadelphia 76ers,26.4
2005-01-01,Phoenix Suns,25.2
2005-01-01,Portland Trail Blazers,27.0
2005-01-01,Sacramento Kings,27.7
2005-01-01,San Antonio Spurs,28.5
2005-01-01,Seattle SuperSonics,26.0
2005-01-01,Toronto Raptors,27.0
2005-01-01,Utah Jazz,25.7
2005-01-01,Washington Wizards,25.3
2005-01-01,League Average,27.1
2004-01-01,Atlanta Hawks,26.2
2004-01-01,Boston Celtics,26.4
2004-01-01,Chicago Bulls,26.8
2004-01-01,Cleveland Cavaliers,24.9
2004-01-01,Dallas Mavericks,27.4
2004-01-01,Denver Nuggets,25.6
2004-01-01,Detroit Pistons,27.4
2004-01-01,Golden State Warriors,28.1
2004-01-01,Houston Rockets,28.3
2004-01-01,Indiana Pacers,27.1
2004-01-01,Los Angeles Clippers,24.3
2004-01-01,Los Angeles Lakers,29.8
2004-01-01,Memphis Grizzlies,26.0
2004-01-01,Miami Heat,26.4
2004-01-01,Milwaukee Bucks,26.5
2004-01-01,Minnesota Timberwolves,29.7
2004-01-01,New Jersey Nets,27.7
2004-01-01,New Orleans Hornets,30.3
2004-01-01,New York Knicks,29.6
2004-01-01,Orlando Magic,25.8
2004-01-01,Philadelphia 76ers,27.5
2004-01-01,Phoenix Suns,24.4
2004-01-01,Portland Trail Blazers,27.6
2004-01-01,Sacramento Kings,29.3
2004-01-01,San Antonio Spurs,27.3
2004-01-01,Seattle SuperSonics,26.0
2004-01-01,Toronto Raptors,27.6
2004-01-01,Utah Jazz,24.9
2004-01-01,Washington Wizards,24.4
2004-01-01,League Average,27.2
2003-01-01,Atlanta Hawks,27.2
2003-01-01,Boston Celtics,26.9
2003-01-01,Chicago Bulls,25.2
2003-01-01,Cleveland Cavaliers,23.5
2003-01-01,Dallas Mavericks,28.1
2003-01-01,Denver Nuggets,24.1
2003-01-01,Detroit Pistons,29.0
2003-01-01,Golden State Warriors,24.4
2003-01-01,Houston Rockets,25.9
2003-01-01,Indiana Pacers,25.9
2003-01-01,Los Angeles Clippers,25.3
2003-01-01,Los Angeles Lakers,28.1
2003-01-01,Memphis Grizzlies,24.9
2003-01-01,Miami Heat,26.5
2003-01-01,Milwaukee Bucks,29.3
2003-01-01,Minnesota Timberwolves,28.2
2003-01-01,New Jersey Nets,27.3
2003-01-01,New Orleans Hornets,29.1
2003-01-01,New York Knicks,30.2
2003-01-01,Orlando Magic,26.9
2003-01-01,Philadelphia 76ers,28.3
2003-01-01,Phoenix Suns,25.2
2003-01-01,Portland Trail Blazers,29.2
2003-01-01,Sacramento Kings,28.3
2003-01-01,San Antonio Spurs,28.4
2003-01-01,Seattle SuperSonics,26.9
2003-01-01,Toronto Raptors,27.6
2003-01-01,Utah Jazz,30.9
2003-01-01,Washington Wizards,28.4
2003-01-01,League Average,27.2
2002-01-01,Atlanta Hawks,25.7
2002-01-01,Boston Celtics,26.2
2002-01-01,Charlotte Hornets,28.3
